TIME_STAMP (),ENGINE_RUN_TIME (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),WARM_UPS_SINCE_CODES_CLEARED ()
22:16.0,2,1128,0,19.215687,30.588236,81,0,0,32,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,46,2,64.099998,63.300003,11.894,0,0,8260,0,255
22:17.0,2,1113.25,0,19.215687,31.764706,80,0,0,33,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,46,2,64.099998,63.300003,11.894,0,0,8260,0,255
22:18.0,3,1113.25,0,19.215687,31.764706,80,0,0,33,60.392159,51.372547,16.078432,31.764706,19.215687,0,100,0,46,2,64.099998,63.300003,11.894,0,0,8260,0,255
22:19.0,3,1113.25,0,19.215687,31.764706,80,0,0,33,60.392159,51.372547,16.078432,31.764706,18.82353,0,100,0,46,2,67.400002,63.300003,13.613,0,0,8260,0,255
22:20.0,3,1113.25,0,19.215687,31.764706,80,0,0,33,60.392159,51.372547,16.078432,31.764706,18.82353,0,100,0,46,2,67.400002,63.300003,13.613,0,0,8260,0,255
22:21.0,5,922.5,0,18.82353,35.294117,80,-0.78125,0,35,60.392159,51.372547,16.078432,31.764706,18.82353,0,100,0,47,7,67.400002,63.300003,13.613,0,0,8260,0,255
22:22.0,5,922.5,0,18.82353,35.294117,80,-0.78125,0,35,60.392159,51.372547,16.078432,31.764706,18.82353,0,100,0,47,7,67.400002,63.300003,13.613,0,0,8260,0,255
22:23.0,5,922.5,0,18.82353,35.294117,80,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,47,7,69.699997,63.300003,13.808,0,0,8260,0,255
22:24.0,5,922.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,47,7,69.699997,63.300003,13.808,0,0,8260,0,255
22:25.0,7,851.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,7,69.699997,63.300003,13.808,0,0,8260,0,255
22:26.0,7,851.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,7,74.900002,63.300003,13.769,0,0,8260,0,255
22:27.0,7,851.5,0,18.82353,35.686275,79,-0.78125,0,35,60.392159,50.588234,16.078432,31.764706,18.82353,0,100,0,48,7,74.900002,63.300003,13.769,0,0,8260,0,255
22:28.0,7,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.588234,16.078432,31.764706,18.82353,0,100,0,48,4,74.900002,63.300003,13.769,0,0,8260,0,255
22:29.0,9,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.588234,16.078432,31.764706,18.82353,0,100,0,48,4,74.900002,63.300003,13.769,0,0,8260,0,255
22:30.0,9,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,4,80.699997,63.300003,13.75,0,0,8260,0,255
22:31.0,9,835.75,0,18.82353,36.470589,79,-0.78125,0,36,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,4,80.699997,63.300003,13.75,0,0,8260,0,255
22:32.0,11,831.25,0,18.82353,37.254902,80,-0.78125,0,37,60.392159,50.980392,16.078432,31.764706,18.82353,0,100,0,48,1,80.699997,63.300003,13.75,0,0,8260,0,255
